epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,88.5903,1.41814,1.19625,1.07358,0.57235,0.57143,0.48344,0.2432,1.78997,1.94325,1.33494,0.000614,0.000614,0.000614
44,90.2223,1.36854,1.20957,1.08708,0.56955,0.52015,0.48563,0.24431,1.77714,1.91072,1.32765,0.000581,0.000581,0.000581
45,91.908,1.35325,1.22098,1.0898,0.6348,0.55904,0.55112,0.25428,1.78319,1.93681,1.31084,0.000548,0.000548,0.000548
46,93.7059,1.29367,1.27983,1.07167,0.6173,0.57622,0.58045,0.27633,1.79108,1.89482,1.30384,0.000515,0.000515,0.000515
47,95.376,1.34437,1.19606,1.07331,0.61809,0.60714,0.59692,0.28906,1.77218,1.81811,1.28858,0.000482,0.000482,0.000482
48,97.0526,1.32118,1.18307,1.07946,0.65028,0.66438,0.61813,0.31591,1.71802,1.72615,1.27597,0.000449,0.000449,0.000449
49,98.7385,1.23155,1.14133,1.04268,0.6369,0.64286,0.60751,0.30993,1.70897,1.65552,1.27933,0.000416,0.000416,0.000416
50,100.431,1.24296,1.10585,1.01158,0.54836,0.69406,0.60371,0.29811,1.70982,1.6271,1.29086,0.000383,0.000383,0.000383
51,111.072,1.4197,1.66559,1.10818,0.60731,0.64286,0.60802,0.31431,1.71644,1.65145,1.28887,0.00035,0.00035,0.00035
52,112.737,1.33789,1.4469,1.07881,0.66193,0.62966,0.61272,0.32679,1.69949,1.78284,1.267,0.000317,0.000317,0.000317
53,114.381,1.25095,1.4174,1.07656,0.74923,0.53364,0.6029,0.32553,1.67693,1.91451,1.24948,0.000284,0.000284,0.000284
54,116.017,1.27022,1.40238,1.06953,0.76103,0.53571,0.59682,0.32591,1.68299,1.96905,1.2524,0.000251,0.000251,0.000251
55,117.675,1.39317,1.42522,1.10473,0.66514,0.53571,0.59666,0.32486,1.6734,1.90854,1.25031,0.000218,0.000218,0.000218
56,119.355,1.22458,1.38295,1.07927,0.66132,0.55824,0.61622,0.3503,1.67449,1.84175,1.25022,0.000185,0.000185,0.000185
57,121.012,1.30006,1.39833,1.04662,0.64838,0.60714,0.63091,0.33643,1.69676,1.71837,1.25511,0.000152,0.000152,0.000152
58,122.718,1.14885,1.28486,1.03425,0.67641,0.64286,0.65389,0.34397,1.7152,1.63021,1.26191,0.000119,0.000119,0.000119
59,124.364,1.24919,1.20218,1.09725,0.63533,0.64286,0.65882,0.34597,1.70952,1.5855,1.26081,8.6e-05,8.6e-05,8.6e-05
60,125.996,1.2293,1.37164,1.07079,0.62969,0.64286,0.66591,0.35233,1.70575,1.55457,1.25582,5.3e-05,5.3e-05,5.3e-05
