epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,330.973,3.03298,2.6843,2.36495,0.68245,0.42998,0.52999,0.25763,3.61145,3.34269,2.8182,0.0008516,0.0008516,0.0008516
31,340.116,3.00066,2.66305,2.37798,0.54822,0.48548,0.4424,0.22203,3.69546,3.29642,2.89116,0.000812,0.000812,0.000812
32,348.746,2.98925,2.52399,2.31468,0.5779,0.52,0.52194,0.22057,3.89641,3.41907,3.05401,0.0007724,0.0007724,0.0007724
33,357.41,3.00652,2.5507,2.33806,0.57159,0.5,0.54029,0.25231,3.67455,3.47784,2.84644,0.0007328,0.0007328,0.0007328
34,366.103,2.93624,2.41522,2.25713,0.58556,0.56523,0.56037,0.27016,3.68876,3.43131,2.88346,0.0006932,0.0006932,0.0006932
35,374.663,2.9606,2.45678,2.32331,0.60289,0.58,0.54338,0.25968,3.73364,3.36243,2.95223,0.0006536,0.0006536,0.0006536
36,383.237,2.91757,2.3629,2.26913,0.49967,0.54,0.521,0.24805,3.60246,3.49598,2.85496,0.000614,0.000614,0.000614
37,392.023,2.86984,2.24806,2.24549,0.53976,0.54,0.56107,0.27251,3.66727,2.96733,2.97216,0.0005744,0.0005744,0.0005744
38,400.624,2.90891,2.23414,2.32933,0.87991,0.42,0.55998,0.27238,3.78079,3.24213,3.05216,0.0005348,0.0005348,0.0005348
39,409.27,2.85826,2.2988,2.23083,0.71806,0.5,0.56218,0.25199,3.8321,3.29143,3.06153,0.0004952,0.0004952,0.0004952
40,417.958,2.75599,2.2009,2.22993,0.60251,0.54576,0.53634,0.25781,3.86429,3.08683,3.14327,0.0004556,0.0004556,0.0004556
41,472.534,2.76396,2.57599,2.36778,0.64893,0.46,0.53069,0.28205,3.67434,3.33867,2.93329,0.000416,0.000416,0.000416
42,481.238,2.72526,2.42533,2.29939,0.5487,0.46,0.45174,0.19692,3.97947,3.7332,3.17705,0.0003764,0.0003764,0.0003764
43,490.092,2.73827,2.28576,2.31767,0.46884,0.6,0.53727,0.256,3.67475,3.21127,2.94861,0.0003368,0.0003368,0.0003368
44,498.733,2.68293,2.22308,2.29425,0.57682,0.46,0.49692,0.24197,3.75238,3.65648,2.89578,0.0002972,0.0002972,0.0002972
45,507.286,2.64726,2.22817,2.26133,0.5729,0.5,0.52299,0.27429,3.73183,3.47384,2.93379,0.0002576,0.0002576,0.0002576
46,515.809,2.58267,2.1066,2.23744,0.73817,0.45125,0.54535,0.26657,3.82602,3.35955,3.02118,0.000218,0.000218,0.000218
47,524.506,2.64798,2.03394,2.2816,0.73176,0.43657,0.52736,0.24944,3.84936,3.48285,3.03772,0.0001784,0.0001784,0.0001784
48,533.228,2.63792,2.12036,2.28668,0.67687,0.44,0.52243,0.24927,3.82706,3.46912,2.98484,0.0001388,0.0001388,0.0001388
49,541.835,2.64637,2.1184,2.27314,0.58277,0.54,0.55221,0.26392,3.81572,3.39506,2.98543,9.92e-05,9.92e-05,9.92e-05
50,550.479,2.53199,1.92625,2.2257,0.61167,0.54,0.56588,0.27061,3.8078,3.3753,2.99325,5.96e-05,5.96e-05,5.96e-05
