epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0436,4.34385,10.6116,2.90244,0.00143,0.24,0.01588,0.00797,3.37838,10.2917,2.54822,0.0006,0.0006,0.0006
2,89.4923,3.81202,8.23788,2.63021,0.00179,0.3,0.02412,0.01144,3.65537,10.108,2.85143,0.00119584,0.00119584,0.00119584
3,98.5295,3.73385,7.68356,2.69579,0.35848,0.02,0.12858,0.06302,3.82094,9.128,2.87209,0.00176714,0.00176714,0.00176714
4,107.638,3.77764,6.69755,2.72933,0.45731,0.14,0.25469,0.11488,3.404,7.42953,2.84942,0.0018812,0.0018812,0.0018812
5,116.691,3.73321,6.39921,2.64697,0.20062,0.3,0.21191,0.09799,3.77619,7.09253,3.01344,0.0018416,0.0018416,0.0018416
6,125.327,3.74429,6.16511,2.67748,0.33244,0.36,0.31021,0.14316,3.50709,5.54183,2.86442,0.001802,0.001802,0.001802
7,133.935,3.59513,5.42982,2.58702,0.41486,0.3,0.36415,0.17085,3.48065,4.78055,2.81153,0.0017624,0.0017624,0.0017624
8,142.514,3.67991,5.28854,2.66342,0.40683,0.26,0.3187,0.1439,3.60843,4.80515,2.84796,0.0017228,0.0017228,0.0017228
9,151.166,3.6651,4.94969,2.5976,0.39817,0.44,0.31207,0.15731,3.57784,4.7813,2.79413,0.0016832,0.0016832,0.0016832
10,160.223,3.54454,4.88703,2.60235,0.28136,0.36,0.27438,0.13372,3.43593,6.31261,2.79676,0.0016436,0.0016436,0.0016436
11,168.907,3.57384,4.74548,2.66554,0.26171,0.4,0.24639,0.11547,3.88665,4.5024,2.92324,0.001604,0.001604,0.001604
12,177.665,3.50302,4.34981,2.58196,0.32321,0.34391,0.21913,0.10026,3.77076,5.04637,2.87048,0.0015644,0.0015644,0.0015644
13,186.402,3.53453,4.14919,2.54649,0.35155,0.32,0.3095,0.14811,3.95824,5.03953,2.94998,0.0015248,0.0015248,0.0015248
14,195.786,3.42123,3.94253,2.54321,0.48611,0.32,0.31869,0.13053,3.97305,4.78514,2.98821,0.0014852,0.0014852,0.0014852
15,204.431,3.35743,3.8007,2.46614,0.31181,0.42,0.35817,0.16665,3.83346,4.28304,2.89993,0.0014456,0.0014456,0.0014456
16,212.653,3.35395,3.67771,2.48845,0.46112,0.3,0.30009,0.14361,3.60712,4.38839,2.83216,0.001406,0.001406,0.001406
17,220.968,3.36501,3.59745,2.45582,0.38971,0.46,0.39545,0.18347,3.6529,4.40699,2.84106,0.0013664,0.0013664,0.0013664
18,229.319,3.45536,3.51004,2.50088,0.47509,0.44,0.43571,0.17387,3.80546,3.8443,2.90924,0.0013268,0.0013268,0.0013268
19,237.782,3.26885,3.40836,2.47439,0.43303,0.48,0.3473,0.1601,3.92062,3.84658,2.99652,0.0012872,0.0012872,0.0012872
20,246.402,3.32718,3.32624,2.43697,0.39223,0.54,0.45887,0.2119,3.58732,3.5426,2.79554,0.0012476,0.0012476,0.0012476
21,255.058,3.21366,3.14503,2.42381,0.42629,0.52,0.42121,0.17789,3.78405,3.47494,2.92459,0.001208,0.001208,0.001208
22,263.341,3.13667,3.09477,2.4268,0.49789,0.5,0.46543,0.22385,3.73177,3.4964,2.91228,0.0011684,0.0011684,0.0011684
23,271.57,3.23202,3.05739,2.47808,0.44901,0.48,0.44295,0.21652,3.63096,3.3846,2.857,0.0011288,0.0011288,0.0011288
24,279.946,3.25246,2.98515,2.45896,0.78108,0.4,0.50193,0.25394,3.52305,3.37296,2.85175,0.0010892,0.0010892,0.0010892
25,288.244,3.16009,2.93355,2.40874,0.63287,0.41385,0.53731,0.27709,3.64307,3.3936,2.76706,0.0010496,0.0010496,0.0010496
26,296.491,3.0861,2.80414,2.36393,0.42557,0.56,0.44948,0.20601,3.84947,3.51099,2.9518,0.00101,0.00101,0.00101
27,304.869,3.10831,2.75241,2.3112,0.35112,0.4221,0.32675,0.12664,3.96233,4.08399,3.00154,0.0009704,0.0009704,0.0009704
28,313.189,3.08384,3.0011,2.338,0.60082,0.48,0.47659,0.20757,3.83146,3.37169,2.96606,0.0009308,0.0009308,0.0009308
29,321.677,3.09054,2.73694,2.34745,0.53366,0.34,0.40421,0.19791,3.94501,3.49388,3.02546,0.0008912,0.0008912,0.0008912
